Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
56360429,The Art of Goosebumps,Sarah Rodriqeuz,"Rodriqeuz, Sarah",Tim Jacobus,"=""1524106909""","=""9781524106904""",3.0,Dynamite Entertainment,Hardcover,200,2021,2021,2022/05/14,2023/11/12,,,read,,,,1,0
676920,The Consumer,Michael Gira,"Gira, Michael",,"=""1880985268""","=""9781880985267""",0,2 13 61,Paperback,233,1995,1995,,2023/11/06,to-read,to-read (#217),to-read,,,,0,0
308990,Francis Bacon: 1909-1992,Luigi Ficacci,"Ficacci, Luigi",,"=""3822821985""","=""9783822821985""",0,TASCHEN,,96,2003,1999,,2023/11/06,to-read,to-read (#216),to-read,,,,0,0
16076971,A Cotton Candy Autopsy,Dave Louapre,"Louapre, Dave",Dan Sweetman,"=""""","=""""",4.0,,Unknown Binding,69,1990,1990,2022/02/16,2022/02/16,,,read,"Roly poly, topsy turvy, hang upside down, fall to the ground. 🤡",,,1,0
58383,Story of the Eye,Georges Bataille,"Bataille, Georges","Joachim Neugroschel, Susan Sontag, Roland Barthes","=""0141185384""","=""9780141185385""",3.0,Penguin Classic,Paperback,127,2014,1928,2023/07/07,2023/06/20,,,read,I showed you my eyeball please respond.,,,1,0
936205,Invitation to a Beheading,Vladimir Nabokov,"Nabokov, Vladimir",,"=""0140100407""","=""9780140100402""",3.0,Penguin Classics,Paperback,192,1990,1935,2023/10/31,2022/07/01,,,read,"“The Kifer Distributing Center has received a large selection of ladies’ belts, and the offer may not be repeated.”",,,1,0
9278897,"The 4-Hour Work Week: Escape the 9-5, Live Anywhere and Join the New Rich",Timothy Ferriss,"Ferriss, Timothy",,"=""0091929113""","=""9780091929114""",4.0,Vermilion.,Paperback,396,2011,2007,2016/01/31,2019/01/18,,,read,,,,1,0
24957214,On Quiet Nights,Till Lindemann,"Lindemann, Till","Ehren Fordyce, Matthias Matthies, Michael A. Arnzen","=""""","=""""",4.0,Raw Dog Screaming Press,Paperback,148,2015,2013,2022/01/23,2022/01/23,favourite-poetry,favourite-poetry (#3),read,Du… du hast… du hast poesie.,,,1,0
18040653,Grishjärta,Nattramn,"Nattramn, Nattramn",,"=""""","=""""",4.0,HAL,Hardcover,156,2011,2011,2023/10/27,2023/10/27,favourite-poetry,favourite-poetry (#5),read,"I read this entirely in Nattramn’s high-pitched, shrieking DSBM vocals.",,,1,0
12066268,His Pain,Wrath James White,"White, Wrath James",,"=""1936383675""","=""9781936383672""",4.0,Deadite Pr,Paperback,79,2011,2006,2023/10/23,2023/10/22,,,read,"This grisly, visceral story makes The Hellbound Heart seem like Goosebumps in comparison.",,,1,0
51933,Madness and Civilization: A History of Insanity in the Age of Reason,Michel Foucault,"Foucault, Michel",,"=""067972110X""","=""9780679721109""",0,Vintage,Paperback,299,1988,1961,,2023/10/22,to-read,to-read (#214),to-read,,,,0,0
46207193,Succulent Prey,Wrath James White,"White, Wrath James",,"=""1621051528""","=""9781621051527""",0,Deadite Press,Paperback,278,2019,2005,,2023/10/22,to-read,to-read (#213),to-read,,,,0,0
38471134,My Friend Dahmer,Derf Backderf,"Backderf, Derf",,"=""""","=""""",5.0,,ebook,28,,2012,,2021/01/18,favourite-graphic-novels,favourite-graphic-novels (#1),read,,,,1,0
102564,The Mysterious Stranger,Mark Twain,"Twain, Mark",,"=""1573920398""","=""9781573920391""",0,G38-Prometheus,Paperback,122,1995,1916,,2023/10/13,to-read,to-read (#212),to-read,,,,0,0
125125769,Diary of a Madman and Other Stories,Lu Xun,"Xun, Lu",,"=""""","=""9798888304976""",0,Bibliotech Press,Paperback,252,2023,1926,,2023/10/11,to-read,to-read (#211),to-read,,,,0,0
24224468,365 Sayings of the Quran,Abdur Raheem Kidwai,"Kidwai, Abdur Raheem",,"=""""","=""""",2.0,Jaico Publishing House,Kindle Edition,184,2014,2014,2021/01/02,2020/12/29,,,read,,,,1,0
25541028,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,"Vance, Ashlee",,"=""0062301233""","=""9780062301239""",2.0,Ecco,Hardcover,392,2015,2015,2017/01/31,2019/01/18,,,read,,,,1,0
6326920,"The Accidental Billionaires: The Founding of Facebook, a Tale of Sex, Money, Genius, and Betrayal",Ben Mezrich,"Mezrich, Ben",,"=""0385529376""","=""9780385529372""",3.0,Doubleday,Hardcover,255,2009,2009,2010/04/20,2019/01/18,,,read,,,,1,0
28676,American Psycho,Bret Easton Ellis,"Ellis, Bret Easton",,"=""0679735771""","=""9780679735779""",4.0,Vintage Contemporaries,Paperback,399,1991,1991,2006/01/31,2021/01/03,,,read,,,,1,0
732562,The Rime of the Ancient Mariner,Samuel Taylor Coleridge,"Coleridge, Samuel Taylor",Gustave Doré,"=""0486223051""","=""9780486223056""",4.0,Dover Publications,Paperback,77,1970,1798,2005/01/31,2021/03/14,,,read,,,,1,0
